CPS_Aspect,CPS_Concern1,CPS_Concern2,CPS_Concern3,CPS_Concern4,Level,Pad,To Pad,Sum,Satisfied,Aspect Tree
Trustworthiness,Security,Cybersecurity,Confidentiality,,4,203,203,2,FALSE,Trustworthiness
Trustworthiness,Security,Cybersecurity,Confidentiality,Verification,5,203,203,1,FALSE,Trustworthiness
Trustworthiness,,,,,1,203,203,15,FALSE,Trustworthiness
Trustworthiness,Safety,,,,2,203,203,4,TRUE,Trustworthiness
Trustworthiness,Safety,Functional_Safety,,,3,203,203,3,TRUE,Trustworthiness
Trustworthiness,Safety,Functional_Safety,Hazard,,4,203,203,3,TRUE,Trustworthiness
Trustworthiness,Safety,Functional_Safety,Hazard,Severity,5,203,203,1,TRUE,Trustworthiness
Trustworthiness,,,,,1,203,203,15,FALSE,Trustworthiness
Trustworthiness,Security,,,,2,203,203,6,FALSE,Trustworthiness
Trustworthiness,Security,Cybersecurity,,,3,203,203,4,FALSE,Trustworthiness
Trustworthiness,Security,Cybersecurity,Integrity,,4,203,203,1,TRUE,Trustworthiness
Trustworthiness,,,,,1,203,203,15,FALSE,Trustworthiness
Trustworthiness,Security,,,,2,203,203,6,FALSE,Trustworthiness
Trustworthiness,Security,PhysicalSecurity,,,3,203,203,2,TRUE,Trustworthiness
